,ID,block,trial_number,food,reaction_time,rating,fat,sugar
70,1,health,71,burger,3.84,3.0,high,high
71,1,health,72,cereal,1.63,9.0,high,high
72,1,health,73,nuts,,,low,high
73,1,health,74,kale,1.34,10.0,low,high
74,1,health,75,eggs,2.49,7.0,low,low
75,1,taste,1,pizza,3.36,6.0,high,low
76,1,taste,2,bacon,2.84,9.0,low,high
77,1,taste,3,yogurt,3.62,2.0,low,high
78,1,taste,4,eggs,1.05,9.0,low,low
79,1,taste,5,oatmeal,1.45,6.0,high,low
80,1,taste,6,avocado,3.16,4.0,low,low
81,1,taste,7,avocado,2.36,7.0,low,low
82,1,taste,8,cereal,2.47,7.0,high,high
83,1,taste,9,bacon,1.6,9.0,low,high
84,1,taste,10,broccoli,2.5,5.0,low,high
85,1,taste,11,cranberries,1.93,1.0,high,low
86,1,taste,12,lettuce,2.91,8.0,low,high
87,1,taste,13,soda,0.72,9.0,low,high
88,1,taste,14,burger,3.63,3.0,high,high
89,1,taste,15,cereal,1.08,10.0,high,high
90,1,taste,16,banana,3.76,6.0,low,low
91,1,taste,17,donut,1.82,4.0,high,high
92,1,taste,18,pizza,1.75,3.0,high,low
93,1,taste,19,mango,2.83,8.0,low,low
94,1,taste,20,eggs,3.17,5.0,low,low
95,1,taste,21,milk,1.29,5.0,low,high
96,1,taste,22,donut,1.93,7.0,high,high
97,1,taste,23,mango,1.29,10.0,low,low
98,1,taste,24,waffles,3.23,6.0,low,low
99,1,taste,25,eggs,3.3,9.0,low,low
100,1,taste,26,granola,0.52,2.0,low,low
101,1,taste,27,milk,2.74,5.0,low,high
102,1,taste,28,waffles,1.01,5.0,low,low
103,1,taste,29,candy,2.78,4.0,high,low
104,1,taste,30,pasta,3.38,6.0,low,high
105,1,taste,31,cake,3.42,10.0,high,low
106,1,taste,32,chocolate,2.36,9.0,high,high
107,1,taste,33,peanut butter,1.7,4.0,low,low
108,1,taste,34,grapes,1.98,7.0,high,high
109,1,taste,35,rice,1.01,3.0,low,low
110,1,taste,36,peanut butter,1.12,3.0,low,low
111,1,taste,37,banana,3.47,10.0,low,low
112,1,taste,38,onion rings,2.99,8.0,low,low
113,1,taste,39,pasta,1.64,3.0,low,high
114,1,taste,40,watermelon,0.87,3.0,low,high
115,1,taste,41,milk,0.51,2.0,low,high
116,1,taste,42,salmon,1.62,1.0,low,low
117,1,taste,43,grapes,0.67,10.0,high,high
118,1,taste,44,chocolate,3.5,1.0,high,high
119,1,taste,45,popcorn,2.96,4.0,low,low
120,1,taste,46,beef,2.0,3.0,high,high
121,1,taste,47,ice cream,1.6,7.0,high,low
122,1,taste,48,waffles,2.05,8.0,low,low
123,1,taste,49,cookie,1.6,4.0,high,high
124,1,taste,50,soda,2.27,1.0,low,high
125,1,taste,51,waffles,1.35,4.0,low,low
126,1,taste,52,chicken,2.34,6.0,low,low
127,1,taste,53,eggs,2.03,2.0,low,low
128,1,taste,54,yogurt,0.72,2.0,low,high
129,1,taste,55,pizza,1.97,4.0,high,low
130,1,taste,56,avocado,1.08,6.0,low,low
131,1,taste,57,watermelon,3.44,6.0,low,high
132,1,taste,58,toast,3.32,7.0,high,high
133,1,taste,59,shrimp,1.39,7.0,high,high
134,1,taste,60,soda,1.61,2.0,low,high
135,1,taste,61,burger,0.72,2.0,high,high
136,1,taste,62,soda,3.62,6.0,low,high
137,1,taste,63,cranberries,0.52,7.0,high,low
138,1,taste,64,ice cream,3.21,3.0,high,low
139,1,taste,65,apple,3.23,10.0,high,low
140,1,taste,66,banana,3.85,7.0,low,low
141,1,taste,67,bacon,0.53,10.0,low,high
142,1,taste,68,ice cream,1.82,2.0,high,low
143,1,taste,69,grapes,3.5,1.0,high,high
144,1,taste,70,salmon,1.95,3.0,low,low
145,1,taste,71,cheese,2.24,6.0,high,low
146,1,taste,72,pizza,3.04,3.0,high,low
147,1,taste,73,lettuce,2.99,9.0,low,high
148,1,taste,74,watermelon,2.14,10.0,low,high
149,1,taste,75,pizza,3.09,4.0,high,low
150,1,choice,1,cranberries,3.13,6.0,high,low
151,1,choice,2,cucumber,0.98,8.0,low,high
152,1,choice,3,granola,1.55,7.0,low,low
153,1,choice,4,ice cream,2.68,8.0,high,low
154,1,choice,5,rice,3.51,4.0,low,low
155,1,choice,6,shrimp,2.71,7.0,high,high
156,1,choice,7,onion rings,1.93,9.0,low,low
157,1,choice,8,candy,1.87,7.0,high,low
158,1,choice,9,nuts,2.25,3.0,low,high
159,1,choice,10,cranberries,1.66,6.0,high,low
160,1,choice,11,fries,3.8,1.0,low,high
161,1,choice,12,lettuce,1.11,3.0,low,high
162,1,choice,13,eggs,0.58,5.0,low,low
163,1,choice,14,kale,2.87,8.0,low,high
164,1,choice,15,cucumber,2.36,1.0,low,high
165,1,choice,16,waffles,3.01,9.0,low,low
166,1,choice,17,turkey,1.62,9.0,high,low
167,1,choice,18,nuts,1.49,4.0,low,high
168,1,choice,19,broccoli,1.45,1.0,low,high
169,1,choice,20,chicken,2.19,8.0,low,low
170,1,choice,21,avocado,2.98,9.0,low,low
171,1,choice,22,watermelon,3.21,5.0,low,high
172,1,choice,23,cake,3.5,6.0,high,low
173,1,choice,24,pizza,1.05,8.0,high,low
174,1,choice,25,granola,1.99,5.0,low,low
175,1,choice,26,grapes,2.75,6.0,high,high
176,1,choice,27,kale,3.21,10.0,low,high
177,1,choice,28,donut,1.19,8.0,high,high
178,1,choice,29,chicken,4.0,2.0,low,low
179,1,choice,30,peanut butter,0.51,3.0,low,low
180,1,choice,31,beans,3.22,3.0,low,high
181,1,choice,32,steak,0.7,7.0,high,low
182,1,choice,33,burger,0.72,2.0,high,high
183,1,choice,34,popcorn,2.75,7.0,low,low
184,1,choice,35,beans,2.31,9.0,low,high
185,1,choice,36,milk,3.53,10.0,low,high
186,1,choice,37,apple,3.57,4.0,high,low
187,1,choice,38,chocolate,0.77,1.0,high,high
188,1,choice,39,turkey,1.17,10.0,high,low
189,1,choice,40,ice cream,1.66,7.0,high,low
190,1,choice,41,eggs,3.58,7.0,low,low
191,1,choice,42,cake,2.24,6.0,high,low
192,1,choice,43,eggs,2.15,1.0,low,low
193,1,choice,44,lettuce,3.27,3.0,low,high
194,1,choice,45,cheese,2.67,9.0,high,low
195,1,choice,46,tofu,2.11,6.0,low,high
196,1,choice,47,lettuce,3.8,7.0,low,high
197,1,choice,48,chocolate,1.46,8.0,high,high
198,1,choice,49,avocado,3.52,2.0,low,low
199,1,choice,50,beef,2.33,2.0,high,high
200,1,choice,51,watermelon,3.14,7.0,low,high
201,1,choice,52,pizza,0.86,6.0,high,low
202,1,choice,53,steak,3.04,2.0,high,low
203,1,choice,54,lettuce,0.6,1.0,low,high
204,1,choice,55,nuts,3.02,1.0,low,high
205,1,choice,56,yogurt,0.69,8.0,low,high
206,1,choice,57,nuts,1.45,10.0,low,high
207,1,choice,58,salmon,3.71,2.0,low,low
208,1,choice,59,spinach,2.23,5.0,low,low
209,1,choice,60,cereal,2.64,2.0,high,high
210,1,choice,61,cucumber,1.01,6.0,low,high
211,1,choice,62,grapes,1.76,7.0,high,high
212,1,choice,63,candy,3.75,4.0,high,low
213,1,choice,64,cheese,2.48,3.0,high,low
214,1,choice,65,bacon,0.87,10.0,low,high
215,1,choice,66,toast,3.19,9.0,high,high
216,1,choice,67,cookie,2.13,9.0,high,high
217,1,choice,68,bacon,2.0,7.0,low,high
218,1,choice,69,yogurt,0.99,9.0,low,high
219,1,choice,70,fries,1.83,4.0,low,high
220,1,choice,71,shrimp,0.63,6.0,high,high
221,1,choice,72,candy,1.03,1.0,high,low
222,1,choice,73,beef,3.7,4.0,high,high
223,1,choice,74,cereal,1.12,3.0,high,high
224,1,choice,75,toast,2.86,6.0,high,high
225,2,health,1,lettuce,3.84,4.0,low,high
226,2,health,2,banana,2.5,6.0,low,low
227,2,health,3,toast,3.53,8.0,high,high
228,2,health,4,yogurt,3.4,7.0,low,high
229,2,health,5,kale,3.96,8.0,low,high
230,2,health,6,peach,0.95,3.0,high,low
231,2,health,7,beef,3.17,2.0,high,high
232,2,health,8,cookie,,,high,high
233,2,health,9,fries,1.8,1.0,low,high
234,2,health,10,spinach,2.28,9.0,low,low
235,2,health,11,onion rings,0.62,1.0,low,low
236,2,health,12,mango,1.1,3.0,low,low
237,2,health,13,syrup,1.47,8.0,low,low
238,2,health,14,salmon,2.25,5.0,low,low
239,2,health,15,rice,3.75,6.0,low,low
240,2,health,16,rice,3.9,1.0,low,low
241,2,health,17,donut,0.59,1.0,high,high
242,2,health,18,chocolate,3.06,3.0,high,high
243,2,health,19,yogurt,2.09,3.0,low,high
244,2,health,20,toast,1.82,2.0,high,high
245,2,health,21,pizza,3.65,1.0,high,low
246,2,health,22,spinach,3.81,4.0,low,low
247,2,health,23,eggs,3.02,10.0,low,low
248,2,health,24,banana,2.51,5.0,low,low
249,2,health,25,kale,3.49,5.0,low,high
250,2,health,26,syrup,1.06,3.0,low,low
251,2,health,27,mango,2.25,2.0,low,low
252,2,health,28,toast,1.29,7.0,high,high
253,2,health,29,toast,2.07,8.0,high,high
254,2,health,30,candy,3.89,9.0,high,low
255,2,health,31,cucumber,0.78,8.0,low,high
256,2,health,32,chicken,2.7,2.0,low,low
257,2,health,33,cereal,2.06,7.0,high,high
258,2,health,34,ice cream,2.51,8.0,high,low
259,2,health,35,toast,2.18,2.0,high,high
260,2,health,36,cookie,1.97,7.0,high,high
261,2,health,37,cucumber,1.75,1.0,low,high
262,2,health,38,banana,1.07,4.0,low,low
263,2,health,39,nuts,2.91,3.0,low,high
264,2,health,40,grapes,1.86,9.0,high,high
265,2,health,41,rice,3.16,7.0,low,low
266,2,health,42,chocolate,3.4,5.0,high,high
267,2,health,43,bacon,1.78,1.0,low,high
268,2,health,44,pasta,0.72,10.0,low,high
269,2,health,45,cucumber,0.58,8.0,low,high
270,2,health,46,grapes,3.81,7.0,high,high
271,2,health,47,watermelon,3.58,2.0,low,high
272,2,health,48,onion rings,1.78,1.0,low,low
273,2,health,49,pasta,0.6,7.0,low,high
274,2,health,50,nuts,1.26,8.0,low,high
275,2,health,51,chicken,2.37,8.0,low,low
276,2,health,52,yogurt,1.48,7.0,low,high
277,2,health,53,nuts,2.92,9.0,low,high
278,2,health,54,chocolate,1.9,10.0,high,high
279,2,health,55,yogurt,1.37,9.0,low,high
280,2,health,56,onion rings,1.03,8.0,low,low
281,2,health,57,cucumber,0.86,8.0,low,high
282,2,health,58,cheese,3.43,6.0,high,low
283,2,health,59,onion rings,1.64,2.0,low,low
284,2,health,60,donut,1.72,3.0,high,high
285,2,health,61,carrot,1.58,5.0,high,high
286,2,health,62,granola,3.38,10.0,low,low
287,2,health,63,bacon,3.76,8.0,low,high
288,2,health,64,carrot,3.8,3.0,high,high
289,2,health,65,yogurt,0.87,4.0,low,high
290,2,health,66,apple,1.58,3.0,high,low
291,2,health,67,cranberries,3.39,2.0,high,low
292,2,health,68,salmon,1.9,4.0,low,low
293,2,health,69,salmon,2.61,1.0,low,low
294,2,health,70,carrot,2.32,2.0,high,high
295,2,health,71,toast,0.74,10.0,high,high
296,2,health,72,beans,3.22,9.0,low,high
297,2,health,73,peach,2.67,1.0,high,low
298,2,health,74,eggs,2.94,7.0,low,low
299,2,health,75,tofu,0.97,6.0,low,high
300,2,taste,1,syrup,1.44,4.0,low,low
301,2,taste,2,chocolate,1.08,4.0,high,high
302,2,taste,3,syrup,0.88,7.0,low,low
303,2,taste,4,bacon,2.69,8.0,low,high
304,2,taste,5,carrot,3.26,1.0,high,high
305,2,taste,6,rice,2.09,9.0,low,low
306,2,taste,7,chocolate,3.09,5.0,high,high
307,2,taste,8,milk,0.9,3.0,low,high
308,2,taste,9,beans,1.49,9.0,low,high
309,2,taste,10,syrup,1.38,10.0,low,low
310,2,taste,11,cheese,1.18,1.0,high,low
311,2,taste,12,peach,0.6,1.0,high,low
312,2,taste,13,chicken,1.34,1.0,low,low
313,2,taste,14,carrot,3.57,8.0,high,high
314,2,taste,15,candy,3.53,7.0,high,low
315,2,taste,16,cake,1.66,9.0,high,low
316,2,taste,17,spinach,3.77,3.0,low,low
317,2,taste,18,lettuce,3.73,8.0,low,high
318,2,taste,19,rice,0.53,6.0,low,low
319,2,taste,20,kale,3.96,6.0,low,high
320,2,taste,21,ice cream,,,high,low
321,2,taste,22,chicken,0.92,3.0,low,low
322,2,taste,23,onion rings,0.81,3.0,low,low
323,2,taste,24,chocolate,1.27,1.0,high,high
324,2,taste,25,nuts,3.49,8.0,low,high
325,2,taste,26,lettuce,0.66,10.0,low,high
326,2,taste,27,burger,3.81,3.0,high,high
327,2,taste,28,lettuce,2.75,9.0,low,high
328,2,taste,29,spinach,1.94,8.0,low,low
329,2,taste,30,peach,3.5,9.0,high,low
330,2,taste,31,pasta,3.09,7.0,low,high
331,2,taste,32,toast,0.52,4.0,high,high
332,2,taste,33,cereal,1.31,1.0,high,high
333,2,taste,34,yogurt,1.78,3.0,low,high
334,2,taste,35,cheese,2.27,4.0,high,low
335,2,taste,36,watermelon,2.12,4.0,low,high
336,2,taste,37,broccoli,1.52,5.0,low,high
337,2,taste,38,grapes,1.85,10.0,high,high
338,2,taste,39,kale,3.96,6.0,low,high
339,2,taste,40,candy,1.56,10.0,high,low
340,2,taste,41,peanut butter,3.65,2.0,low,low
341,2,taste,42,pear,2.92,9.0,high,high
342,2,taste,43,kale,1.25,2.0,low,high
343,2,taste,44,soda,0.7,6.0,low,high
344,2,taste,45,cookie,3.59,1.0,high,high
345,2,taste,46,mango,2.01,6.0,low,low
346,2,taste,47,apple,3.34,2.0,high,low
347,2,taste,48,apple,1.54,5.0,high,low
348,2,taste,49,onion rings,3.66,7.0,low,low
349,2,taste,50,chocolate,0.79,2.0,high,high
350,2,taste,51,kale,3.22,5.0,low,high
351,2,taste,52,eggs,3.39,9.0,low,low
352,2,taste,53,fries,2.94,6.0,low,high
353,2,taste,54,rice,3.86,8.0,low,low
354,2,taste,55,eggs,2.35,8.0,low,low
355,2,taste,56,carrot,1.0,10.0,high,high
356,2,taste,57,apple,3.97,10.0,high,low
357,2,taste,58,turkey,1.95,5.0,high,low
358,2,taste,59,kale,1.91,9.0,low,high
359,2,taste,60,grapes,3.52,4.0,high,high
360,2,taste,61,donut,3.83,9.0,high,high
361,2,taste,62,soda,1.89,6.0,low,high
362,2,taste,63,ice cream,1.91,3.0,high,low
363,2,taste,64,onion rings,3.51,9.0,low,low
364,2,taste,65,granola,0.92,5.0,low,low
365,2,taste,66,cake,2.81,4.0,high,low
366,2,taste,67,cake,2.2,8.0,high,low
367,2,taste,68,mango,1.47,6.0,low,low
368,2,taste,69,chicken,1.61,7.0,low,low
369,2,taste,70,toast,1.05,8.0,high,high
370,2,taste,71,popcorn,1.61,7.0,low,low
371,2,taste,72,yogurt,1.42,1.0,low,high
372,2,taste,73,shrimp,1.88,8.0,high,high
373,2,taste,74,waffles,3.68,3.0,low,low
374,2,taste,75,cookie,0.74,9.0,high,high
375,2,choice,1,lettuce,1.54,8.0,low,high
376,2,choice,2,tofu,3.05,2.0,low,high
377,2,choice,3,eggs,0.9,2.0,low,low
378,2,choice,4,pizza,0.51,10.0,high,low
379,2,choice,5,beans,2.64,3.0,low,high
380,2,choice,6,waffles,2.28,2.0,low,low
381,2,choice,7,milk,3.85,2.0,low,high
382,2,choice,8,cranberries,1.22,1.0,high,low
383,2,choice,9,cheese,2.7,10.0,high,low
384,2,choice,10,waffles,0.83,7.0,low,low
385,2,choice,11,yogurt,2.52,8.0,low,high
386,2,choice,12,waffles,3.97,2.0,low,low
387,2,choice,13,cookie,1.82,6.0,high,high
388,2,choice,14,onion rings,1.12,4.0,low,low
389,2,choice,15,pizza,3.62,1.0,high,low
390,2,choice,16,yogurt,1.02,1.0,low,high
391,2,choice,17,soda,0.64,3.0,low,high
392,2,choice,18,lettuce,3.47,1.0,low,high
393,2,choice,19,chicken,1.09,9.0,low,low
394,2,choice,20,donut,0.99,2.0,high,high
395,2,choice,21,pear,2.96,1.0,high,high
396,2,choice,22,burger,3.44,3.0,high,high
397,2,choice,23,bacon,1.8,6.0,low,high
398,2,choice,24,eggs,0.73,10.0,low,low
399,2,choice,25,kale,1.11,9.0,low,high
400,2,choice,26,peach,1.58,9.0,high,low
401,2,choice,27,banana,3.15,9.0,low,low
402,2,choice,28,oatmeal,2.52,10.0,high,low
403,2,choice,29,onion rings,2.18,9.0,low,low
404,2,choice,30,pasta,3.61,2.0,low,high
405,2,choice,31,tofu,,,low,high
406,2,choice,32,lettuce,1.27,8.0,low,high
407,2,choice,33,spinach,1.3,5.0,low,low
408,2,choice,34,lettuce,0.66,6.0,low,high
409,2,choice,35,onion rings,1.53,6.0,low,low
410,2,choice,36,beans,3.75,8.0,low,high
411,2,choice,37,granola,1.27,3.0,low,low
412,2,choice,38,pear,3.03,3.0,high,high
413,2,choice,39,nuts,2.33,1.0,low,high
414,2,choice,40,turkey,1.22,8.0,high,low
415,2,choice,41,cucumber,,,low,high
416,2,choice,42,pear,1.53,5.0,high,high
417,2,choice,43,cheese,3.83,3.0,high,low
418,2,choice,44,burger,,,high,high
419,2,choice,45,peanut butter,2.46,1.0,low,low
420,2,choice,46,turkey,3.55,10.0,high,low
421,2,choice,47,cookie,3.96,7.0,high,high
422,2,choice,48,popcorn,3.87,1.0,low,low
423,2,choice,49,pizza,3.28,10.0,high,low
424,2,choice,50,peach,2.76,4.0,high,low
425,2,choice,51,onion rings,3.66,2.0,low,low
426,2,choice,52,toast,0.86,4.0,high,high
427,2,choice,53,spinach,2.83,10.0,low,low
428,2,choice,54,nuts,2.99,9.0,low,high
429,2,choice,55,rice,2.37,7.0,low,low
430,2,choice,56,fries,3.83,7.0,low,high
431,2,choice,57,carrot,1.28,6.0,high,high
432,2,choice,58,burger,2.81,2.0,high,high
433,2,choice,59,oatmeal,1.63,1.0,high,low
434,2,choice,60,cereal,2.08,6.0,high,high
435,2,choice,61,bacon,,,low,high
436,2,choice,62,broccoli,3.15,7.0,low,high
437,2,choice,63,oatmeal,2.88,4.0,high,low
438,2,choice,64,onion rings,3.45,3.0,low,low
439,2,choice,65,carrot,0.64,10.0,high,high
440,2,choice,66,mango,2.97,8.0,low,low
441,2,choice,67,peach,3.8,4.0,high,low
442,2,choice,68,beans,3.81,3.0,low,high
443,2,choice,69,banana,0.5,1.0,low,low
444,2,choice,70,toast,2.73,10.0,high,high
445,2,choice,71,cookie,2.47,1.0,high,high
446,2,choice,72,tofu,1.74,2.0,low,high
447,2,choice,73,oatmeal,3.99,10.0,high,low
448,2,choice,74,turkey,3.54,4.0,high,low
449,2,choice,75,turkey,1.89,9.0,high,low
450,3,health,1,lettuce,1.1,2.0,low,high
451,3,health,2,rice,0.52,10.0,low,low
452,3,health,3,banana,2.37,9.0,low,low
453,3,health,4,cookie,1.24,2.0,high,high
454,3,health,5,oatmeal,3.72,5.0,high,low
455,3,health,6,ice cream,2.9,7.0,high,low
456,3,health,7,eggs,2.4,9.0,low,low
457,3,health,8,lettuce,2.96,9.0,low,high
458,3,health,9,peach,3.78,3.0,high,low
459,3,health,10,tofu,0.97,10.0,low,high
460,3,health,11,mango,2.29,3.0,low,low
461,3,health,12,nuts,3.83,2.0,low,high
462,3,health,13,cranberries,1.75,6.0,high,low
463,3,health,14,bacon,0.61,9.0,low,high
464,3,health,15,waffles,2.29,4.0,low,low
465,3,health,16,watermelon,1.45,5.0,low,high
466,3,health,17,turkey,3.84,7.0,high,low
467,3,health,18,eggs,3.57,1.0,low,low
468,3,health,19,pear,2.21,9.0,high,high
469,3,health,20,salmon,0.65,1.0,low,low
470,3,health,21,apple,3.09,3.0,high,low
471,3,health,22,cake,3.07,4.0,high,low
472,3,health,23,rice,0.59,2.0,low,low
473,3,health,24,cucumber,3.68,7.0,low,high
474,3,health,25,peach,2.43,1.0,high,low
475,3,health,26,cranberries,1.47,10.0,high,low
476,3,health,27,pasta,,,low,high
477,3,health,28,cake,3.37,5.0,high,low
478,3,health,29,rice,2.79,10.0,low,low
479,3,health,30,cheese,0.82,9.0,high,low
480,3,health,31,burger,2.11,2.0,high,high
481,3,health,32,popcorn,2.37,7.0,low,low
482,3,health,33,burger,1.2,5.0,high,high
483,3,health,34,pizza,1.04,9.0,high,low
484,3,health,35,watermelon,3.25,7.0,low,high
485,3,health,36,turkey,1.03,10.0,high,low
486,3,health,37,pizza,2.38,10.0,high,low
487,3,health,38,candy,1.39,8.0,high,low
488,3,health,39,bacon,0.6,5.0,low,high
489,3,health,40,waffles,2.49,8.0,low,low
490,3,health,41,toast,0.67,4.0,high,high
491,3,health,42,apple,0.53,6.0,high,low
492,3,health,43,peanut butter,3.68,5.0,low,low
493,3,health,44,peach,2.53,9.0,high,low
494,3,health,45,mango,3.54,9.0,low,low
495,3,health,46,pasta,2.45,3.0,low,high
496,3,health,47,lettuce,2.04,6.0,low,high
497,3,health,48,grapes,0.69,5.0,high,high
498,3,health,49,tofu,2.69,8.0,low,high
499,3,health,50,syrup,2.02,5.0,low,low
500,3,health,51,pear,3.53,4.0,high,high
501,3,health,52,onion rings,3.52,5.0,low,low
502,3,health,53,syrup,1.8,3.0,low,low
503,3,health,54,pizza,2.8,5.0,high,low
504,3,health,55,yogurt,2.52,5.0,low,high
505,3,health,56,toast,2.4,5.0,high,high
506,3,health,57,oatmeal,0.76,10.0,high,low
507,3,health,58,tofu,1.97,4.0,low,high
508,3,health,59,watermelon,1.52,10.0,low,high
509,3,health,60,kale,3.12,6.0,low,high
510,3,health,61,onion rings,3.77,5.0,low,low
511,3,health,62,beans,2.65,7.0,low,high
512,3,health,63,peanut butter,,,low,low
513,3,health,64,peanut butter,1.22,7.0,low,low
514,3,health,65,grapes,2.24,2.0,high,high
515,3,health,66,broccoli,2.33,7.0,low,high
516,3,health,67,granola,1.62,4.0,low,low
517,3,health,68,beans,1.19,8.0,low,high
518,3,health,69,avocado,1.67,10.0,low,low
519,3,health,70,onion rings,0.95,4.0,low,low
520,3,health,71,pasta,2.59,4.0,low,high
521,3,health,72,syrup,2.12,1.0,low,low
522,3,health,73,salmon,1.26,9.0,low,low
523,3,health,74,salmon,2.2,5.0,low,low
524,3,health,75,salmon,1.71,4.0,low,low
525,3,taste,1,onion rings,1.34,6.0,low,low
526,3,taste,2,pear,1.03,2.0,high,high
527,3,taste,3,grapes,3.91,8.0,high,high
528,3,taste,4,cranberries,0.97,6.0,high,low
529,3,taste,5,ice cream,3.42,10.0,high,low
530,3,taste,6,cranberries,1.71,9.0,high,low
531,3,taste,7,pear,2.19,2.0,high,high
532,3,taste,8,lettuce,2.93,4.0,low,high
533,3,taste,9,beans,2.16,5.0,low,high
534,3,taste,10,oatmeal,3.44,1.0,high,low
535,3,taste,11,cake,3.21,9.0,high,low
536,3,taste,12,beef,1.18,6.0,high,high
537,3,taste,13,cucumber,2.81,6.0,low,high
538,3,taste,14,soda,1.19,2.0,low,high
539,3,taste,15,toast,1.33,8.0,high,high
540,3,taste,16,turkey,2.76,3.0,high,low
541,3,taste,17,shrimp,1.85,5.0,high,high
542,3,taste,18,peach,2.52,1.0,high,low
543,3,taste,19,lettuce,1.93,8.0,low,high
544,3,taste,20,donut,1.53,6.0,high,high
545,3,taste,21,apple,1.76,4.0,high,low
546,3,taste,22,popcorn,2.33,8.0,low,low
547,3,taste,23,ice cream,1.55,8.0,high,low
548,3,taste,24,spinach,2.17,6.0,low,low
549,3,taste,25,yogurt,1.12,7.0,low,high
550,3,taste,26,banana,2.69,5.0,low,low
551,3,taste,27,pasta,3.57,4.0,low,high
552,3,taste,28,oatmeal,3.16,3.0,high,low
553,3,taste,29,onion rings,3.31,1.0,low,low
554,3,taste,30,pasta,3.91,6.0,low,high
555,3,taste,31,donut,2.2,9.0,high,high
556,3,taste,32,yogurt,1.69,6.0,low,high
557,3,taste,33,pizza,3.61,5.0,high,low
558,3,taste,34,nuts,1.7,3.0,low,high
559,3,taste,35,cheese,1.3,2.0,high,low
560,3,taste,36,cheese,3.87,5.0,high,low
561,3,taste,37,chicken,3.67,1.0,low,low
562,3,taste,38,bacon,0.85,5.0,low,high
563,3,taste,39,avocado,0.74,3.0,low,low
564,3,taste,40,milk,2.51,7.0,low,high
565,3,taste,41,beef,2.98,1.0,high,high
566,3,taste,42,pasta,2.18,10.0,low,high
567,3,taste,43,donut,1.89,7.0,high,high
568,3,taste,44,salmon,1.81,7.0,low,low
569,3,taste,45,pasta,1.79,9.0,low,high
